Component Parts
Custom
HailActorGetQuest -Actor "Kamyar"
548.49 139.51 -657.80
Custom
FlyUp 5
534.29 139.51 -653.70
534.29 166.39 -653.70
488.21 166.39 -633.54
442.16 166.39 -613.40
396.05 166.39 -593.23
350.09 166.39 -573.12
303.60 166.39 -552.78
257.63 166.39 -532.67
209.21 154.09 -538.69
163.22 139.18 -551.90
Custom
FlyDown
133.63 135.32 -563.96
Custom
Path -PL 85 -L -R -QA "-A|a cursed Elddar remnant|-T|QSC:I obtained the cursed Elddar components Kamyar sent me to retrieve|-E|K"
133.64 104.84 -563.93
124.40 105.78 -568.10
115.26 106.67 -572.28
106.15 108.09 -576.62
99.50 109.63 -584.16
96.60 111.35 -593.72
100.82 112.72 -602.92
109.52 112.92 -608.51
116.19 113.80 -616.30
119.13 115.53 -625.96
118.63 117.87 -636.05
114.84 120.42 -645.08
106.60 122.74 -650.88
98.20 124.92 -655.95
90.76 127.36 -662.39
83.03 129.40 -668.76
74.91 131.80 -674.64
73.93 130.70 -664.47
74.40 130.65 -653.99
73.92 131.00 -664.01
72.82 132.16 -673.99
72.09 134.48 -684.28
75.71 136.73 -693.56
43.84 145.81 -683.44
44.32 147.16 -651.86
44.90 145.52 -682.54
84.00 136.48 -699.74
93.17 134.48 -703.31
102.67 134.51 -706.99
112.03 135.71 -710.93
121.15 136.99 -714.90
130.77 137.91 -718.15
139.84 141.83 -720.87
147.89 146.55 -725.06
154.83 144.98 -717.70
157.63 141.91 -708.35
159.61 145.21 -698.72
160.03 146.78 -688.74
160.30 147.52 -678.49
157.08 146.30 -687.89
155.90 143.15 -697.70
154.94 140.22 -707.47
153.80 144.21 -716.87
152.43 148.23 -725.95
150.22 150.94 -735.50
147.18 152.58 -745.34
143.49 153.32 -754.65
139.68 154.40 -764.39
139.60 156.21 -774.29
147.72 158.30 -779.88
156.13 159.28 -785.80
160.34 159.28 -795.33
155.45 159.62 -804.26
146.23 160.15 -808.86
136.12 159.96 -808.94
127.19 159.42 -804.20
118.89 158.99 -798.18
111.39 158.15 -791.32
104.31 156.71 -783.76
97.97 154.44 -776.31
91.51 152.26 -768.92
82.96 150.89 -763.45
72.90 151.27 -762.27
63.17 154.12 -763.55
53.38 157.23 -763.39
44.54 158.73 -758.56
38.67 159.96 -750.13
35.35 161.22 -740.49
32.96 162.23 -730.45
30.23 162.96 -720.52
21.64 164.07 -715.32
12.39 165.36 -719.68
3.90 165.92 -725.15
-2.25 165.30 -733.29
-8.14 163.46 -741.52
-9.81 162.06 -751.49
-8.14 162.66 -761.49
-5.62 163.14 -771.35
-2.78 162.88 -781.11
0.42 161.40 -790.72
3.47 159.78 -800.42
6.32 159.45 -810.16
6.99 159.42 -820.16
5.16 159.43 -826.01
36.05 161.70 -838.20
32.10 164.10 -869.62
133.63 104.84 -563.95
Custom
FlyUp 5
133.63 104.84 -563.95
133.63 154.86 -563.95
183.22 160.10 -558.26
233.14 160.10 -552.52
283.48 160.10 -553.77
330.95 160.10 -570.14
377.09 165.04 -589.28
423.79 165.04 -607.87
470.45 165.04 -626.43
Custom
FlyDown
533.66 155.77 -651.51
Custom
HailActor "Kamyar" 2
548.12 139.51 -657.64
